feature_set,weighting,weighting_strategy,held_out_system,n_train,n_test,model,pearson_r,mse
ligand_fingerprint_baseline,unweighted,unweighted,P07900,60,50,XGBoost_small,-0.46647225289163563,1.7984986243518366
ligand_fingerprint_baseline,unweighted,unweighted,P07900,60,50,RandomForest,-0.432950605207074,1.811798191145554
ligand_fingerprint_baseline,unweighted,unweighted,P07900,60,50,ExtraTrees,-0.23911670427755674,1.8104425038328409
ligand_fp_plus_complex,unweighted,unweighted,P07900,60,50,XGBoost_small,-0.3960456516542474,1.6751836432041753
ligand_fp_plus_complex,unweighted,unweighted,P07900,60,50,RandomForest,-0.40203443972233577,1.744593355774628
ligand_fp_plus_complex,unweighted,unweighted,P07900,60,50,ExtraTrees,-0.25336453320736224,1.7228146856929987
ligand_fp_complex_plus_physchem,unweighted,unweighted,P07900,60,50,XGBoost_small,-0.3202968908912542,1.581795153192765
ligand_fp_complex_plus_physchem,unweighted,unweighted,P07900,60,50,RandomForest,-0.3877629946725081,1.5473775469311093
ligand_fp_complex_plus_physchem,unweighted,unweighted,P07900,60,50,ExtraTrees,-0.25401219026131866,1.7416806742370738
whole_ligand_energy_core,unweighted,unweighted,P07900,60,50,XGBoost_small,0.7808709423459982,0.4892584715392109
whole_ligand_energy_core,unweighted,unweighted,P07900,60,50,RandomForest,0.8272155664772297,0.4438244040207088
whole_ligand_energy_core,unweighted,unweighted,P07900,60,50,ExtraTrees,0.6365136589825533,0.7672914001819808
fragment_informed_final,unweighted,unweighted,P07900,60,50,XGBoost_small,0.8927308000227208,0.23493922796955324
fragment_informed_final,unweighted,unweighted,P07900,60,50,RandomForest,0.8865495964854421,0.24943615044482578
fragment_informed_final,unweighted,unweighted,P07900,60,50,ExtraTrees,0.8719699178656705,0.3082149340251422
ligand_fingerprint_baseline,unweighted,unweighted,P03366,77,33,XGBoost_small,-0.2076087659624918,2.6183571396286602
ligand_fingerprint_baseline,unweighted,unweighted,P03366,77,33,RandomForest,0.16679010253243792,1.9644283136956946
ligand_fingerprint_baseline,unweighted,unweighted,P03366,77,33,ExtraTrees,0.1134905926291434,2.106437996546709
ligand_fp_plus_complex,unweighted,unweighted,P03366,77,33,XGBoost_small,-0.1898982948391777,4.144554911874567
ligand_fp_plus_complex,unweighted,unweighted,P03366,77,33,RandomForest,0.0013974403770152198,5.146475538141325
ligand_fp_plus_complex,unweighted,unweighted,P03366,77,33,ExtraTrees,0.14615662028559454,2.3207974488443432
ligand_fp_complex_plus_physchem,unweighted,unweighted,P03366,77,33,XGBoost_small,0.08751086589104151,3.891350740041413
ligand_fp_complex_plus_physchem,unweighted,unweighted,P03366,77,33,RandomForest,0.007565653280701783,4.933099591788682
ligand_fp_complex_plus_physchem,unweighted,unweighted,P03366,77,33,ExtraTrees,0.12809898830015432,2.7392625075631676
whole_ligand_energy_core,unweighted,unweighted,P03366,77,33,XGBoost_small,0.8565812924852082,0.5478380778046925
whole_ligand_energy_core,unweighted,unweighted,P03366,77,33,RandomForest,0.8571040522224515,0.8032022002065513
whole_ligand_energy_core,unweighted,unweighted,P03366,77,33,ExtraTrees,0.8378841995239582,0.6074420317126481
fragment_informed_final,unweighted,unweighted,P03366,77,33,XGBoost_small,0.8779137332701211,0.35545682968660586
fragment_informed_final,unweighted,unweighted,P03366,77,33,RandomForest,0.9107204824937704,0.3240811490885377
fragment_informed_final,unweighted,unweighted,P03366,77,33,ExtraTrees,0.9117973354424393,0.3043041106950063
ligand_fingerprint_baseline,unweighted,unweighted,P29274,100,10,XGBoost_small,-0.6060470369004948,1.431523239702703
ligand_fingerprint_baseline,unweighted,unweighted,P29274,100,10,RandomForest,-0.17125544495044412,1.1109247274828724
ligand_fingerprint_baseline,unweighted,unweighted,P29274,100,10,ExtraTrees,0.007826004777802691,2.772410838580255
ligand_fp_plus_complex,unweighted,unweighted,P29274,100,10,XGBoost_small,-0.7162612927233608,1.5389645132155312
ligand_fp_plus_complex,unweighted,unweighted,P29274,100,10,RandomForest,-0.21563412720543004,1.104121243868086
ligand_fp_plus_complex,unweighted,unweighted,P29274,100,10,ExtraTrees,0.01185524040377926,2.484540521468156
ligand_fp_complex_plus_physchem,unweighted,unweighted,P29274,100,10,XGBoost_small,-0.3083423618925988,1.3393163782817403
ligand_fp_complex_plus_physchem,unweighted,unweighted,P29274,100,10,RandomForest,-0.2878244524807875,1.4534918561021501
ligand_fp_complex_plus_physchem,unweighted,unweighted,P29274,100,10,ExtraTrees,-0.09006272227535181,1.9700853842335782
whole_ligand_energy_core,unweighted,unweighted,P29274,100,10,XGBoost_small,0.8860741853858795,0.20774197491335178
whole_ligand_energy_core,unweighted,unweighted,P29274,100,10,RandomForest,0.8917509419632921,0.3684509037621436
whole_ligand_energy_core,unweighted,unweighted,P29274,100,10,ExtraTrees,0.9084893533595519,0.2962347690929761
fragment_informed_final,unweighted,unweighted,P29274,100,10,XGBoost_small,0.9661661658380479,0.11553519592896108
fragment_informed_final,unweighted,unweighted,P29274,100,10,RandomForest,0.944295736506907,0.17594967453829202
fragment_informed_final,unweighted,unweighted,P29274,100,10,ExtraTrees,0.9646453473568151,0.10897846525217911
ligand_fingerprint_baseline,unweighted,unweighted,Q16539,103,7,XGBoost_small,-0.11459003998965754,3.952907389671977
ligand_fingerprint_baseline,unweighted,unweighted,Q16539,103,7,RandomForest,0.06568632534215631,3.4445087176308995
ligand_fingerprint_baseline,unweighted,unweighted,Q16539,103,7,ExtraTrees,-0.41711316532104215,12.57012145170351
ligand_fp_plus_complex,unweighted,unweighted,Q16539,103,7,XGBoost_small,-0.1981200547283659,3.858251843565234
ligand_fp_plus_complex,unweighted,unweighted,Q16539,103,7,RandomForest,0.12905368473182216,3.3292606107794542
ligand_fp_plus_complex,unweighted,unweighted,Q16539,103,7,ExtraTrees,-0.44801431630363825,10.176684559553214
ligand_fp_complex_plus_physchem,unweighted,unweighted,Q16539,103,7,XGBoost_small,-0.34855458243037746,3.623658043332368
ligand_fp_complex_plus_physchem,unweighted,unweighted,Q16539,103,7,RandomForest,0.2141867745549071,3.0474480210988935
ligand_fp_complex_plus_physchem,unweighted,unweighted,Q16539,103,7,ExtraTrees,-0.4804679057129715,10.700696374642169
whole_ligand_energy_core,unweighted,unweighted,Q16539,103,7,XGBoost_small,0.8884740781021981,1.021831365664613
whole_ligand_energy_core,unweighted,unweighted,Q16539,103,7,RandomForest,0.8984024222999836,0.8632039583552764
whole_ligand_energy_core,unweighted,unweighted,Q16539,103,7,ExtraTrees,0.8277264032129804,1.3686541296711934
fragment_informed_final,unweighted,unweighted,Q16539,103,7,XGBoost_small,0.9131247903386339,0.7345293357488215
fragment_informed_final,unweighted,unweighted,Q16539,103,7,RandomForest,0.9031273461927654,0.8882937062078312
fragment_informed_final,unweighted,unweighted,Q16539,103,7,ExtraTrees,0.8921561579645648,0.9076568236243471
ligand_fingerprint_baseline,unweighted,unweighted,P49336,104,6,XGBoost_small,-0.4198955674082037,2.36683093241345
ligand_fingerprint_baseline,unweighted,unweighted,P49336,104,6,RandomForest,-0.2776269453140125,2.247634648670623
ligand_fingerprint_baseline,unweighted,unweighted,P49336,104,6,ExtraTrees,0.1933341383117229,4.162795416704505
ligand_fp_plus_complex,unweighted,unweighted,P49336,104,6,XGBoost_small,-0.06934461046149634,1.9698858533698
ligand_fp_plus_complex,unweighted,unweighted,P49336,104,6,RandomForest,0.22236111714910317,2.192481948686356
ligand_fp_plus_complex,unweighted,unweighted,P49336,104,6,ExtraTrees,0.1265974185558734,4.025408787859328
ligand_fp_complex_plus_physchem,unweighted,unweighted,P49336,104,6,XGBoost_small,0.21231445004786156,2.036104586181802
ligand_fp_complex_plus_physchem,unweighted,unweighted,P49336,104,6,RandomForest,0.4754278637730582,2.6684644885941498
ligand_fp_complex_plus_physchem,unweighted,unweighted,P49336,104,6,ExtraTrees,-0.30883900687496835,4.361879263020373
whole_ligand_energy_core,unweighted,unweighted,P49336,104,6,XGBoost_small,0.6494088232460976,0.7427524249026881
whole_ligand_energy_core,unweighted,unweighted,P49336,104,6,RandomForest,0.8090069564583566,0.7889132757755641
whole_ligand_energy_core,unweighted,unweighted,P49336,104,6,ExtraTrees,0.8342760204464003,0.7502906073711902
fragment_informed_final,unweighted,unweighted,P49336,104,6,XGBoost_small,0.85460245007412,0.42510606492759123
fragment_informed_final,unweighted,unweighted,P49336,104,6,RandomForest,0.9278490375260402,0.6781073862871613
fragment_informed_final,unweighted,unweighted,P49336,104,6,ExtraTrees,0.8037210858018786,0.6356168579901454
ligand_fingerprint_baseline,unweighted,unweighted,Q2G036,106,4,XGBoost_small,-0.22163879841455789,7.180001673656806
ligand_fingerprint_baseline,unweighted,unweighted,Q2G036,106,4,RandomForest,0.5242765485008768,6.644558636456763
ligand_fingerprint_baseline,unweighted,unweighted,Q2G036,106,4,ExtraTrees,0.3893963025015548,7.046158666335175
ligand_fp_plus_complex,unweighted,unweighted,Q2G036,106,4,XGBoost_small,0.02554142194662156,8.353173989531992
ligand_fp_plus_complex,unweighted,unweighted,Q2G036,106,4,RandomForest,0.6340000210649519,6.892288088206263
ligand_fp_plus_complex,unweighted,unweighted,Q2G036,106,4,ExtraTrees,0.38017659149188876,7.281720719673536
ligand_fp_complex_plus_physchem,unweighted,unweighted,Q2G036,106,4,XGBoost_small,0.02202913197419585,7.726499163144101
ligand_fp_complex_plus_physchem,unweighted,unweighted,Q2G036,106,4,RandomForest,0.6560506292080411,6.863703324312757
ligand_fp_complex_plus_physchem,unweighted,unweighted,Q2G036,106,4,ExtraTrees,0.3620183686375608,6.786336379055695
whole_ligand_energy_core,unweighted,unweighted,Q2G036,106,4,XGBoost_small,0.9908101005612296,1.2637479926895003
whole_ligand_energy_core,unweighted,unweighted,Q2G036,106,4,RandomForest,0.9320045604950101,1.0288077060783138
whole_ligand_energy_core,unweighted,unweighted,Q2G036,106,4,ExtraTrees,0.8991507404734068,3.0115690528727597
fragment_informed_final,unweighted,unweighted,Q2G036,106,4,XGBoost_small,0.9195719799942463,0.6363047804793939
fragment_informed_final,unweighted,unweighted,Q2G036,106,4,RandomForest,0.9352961504994814,0.6302664434002402
fragment_informed_final,unweighted,unweighted,Q2G036,106,4,ExtraTrees,0.943049952932375,1.0457832262084845
